#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
40,Stubborn Pride,"Zac Brown Band,Jamey Johnson,Marcus King",52,133,"contemporary country, country, country road, modern country rock, outlaw country, modern blues, modern blues rock","Country, Blues, Rock",The Comeback (Deluxe),30/09/2022,07:09,53,64,1,1,34,0,10,-6,B Major,4
41,Black Water (with Zac Brown Band),"The Doobie Brothers,Zac Brown Band",47,171,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock, contemporary country, country, country road, modern country rock","Rock, Country, Folk/Acoustic",Southbound,03/11/2014,04:19,53,77,17,0,67,0,10,-6,E Minor,4
42,The Comeback,Zac Brown Band,47,113,"contemporary country, country, country road, modern country rock","Country, Rock",The Comeback,15/10/2021,03:19,66,83,3,0,55,0,20,-3,F#/G♭ Major,4
43,Your Majesty,Zac Brown Band,49,90,"contemporary country, country, country road, modern country rock","Country, Rock",Welcome Home,12/05/2017,03:42,62,52,14,0,50,0,10,-8,D#/E♭ Major,4
44,"Forever and Ever, Amen (feat. Zac Brown Band)","Randy Travis,Zac Brown Band",47,98,"contemporary country, country, country gospel, country road, modern country rock","Country, Rock",Anniversary Celebration,03/06/2011,03:42,67,52,57,0,66,0,10,-8,D Major,4
45,Cold Hearted,Zac Brown Band,48,166,"contemporary country, country, country road, modern country rock","Country, Rock",You Get What You Give,20/09/2010,03:47,40,47,41,0,32,0,0,-7,C♯/D♭ Major,4
46,Slow Burn,Zac Brown Band,48,120,"contemporary country, country, country road, modern country rock","Country, Rock",The Comeback,15/10/2021,03:31,57,93,0,0,69,0,0,-3,C♯/D♭ Major,4
47,Family Table,Zac Brown Band,46,186,"contemporary country, country, country road, modern country rock","Country, Rock",Welcome Home,12/05/2017,03:31,40,75,3,0,64,0,10,-7,C♯/D♭ Minor,4
48,All Alright,Zac Brown Band,46,155,"contemporary country, country, country road, modern country rock","Country, Rock","The Grohl Sessions, Vol. 1",10/12/2013,04:23,32,56,7,0,51,0,10,-7,G#/A♭ Major,4
49,Already On Fire,Zac Brown Band,43,169,"contemporary country, country, country road, modern country rock","Country, Rock",The Owl,20/09/2019,02:57,49,82,0,0,46,10,10,-6,A Minor,4
50,All the Best,Zac Brown Band,46,78,"contemporary country, country, country road, modern country rock","Country, Rock",Welcome Home,12/05/2017,04:11,65,14,58,0,14,0,10,-11,F#/G♭ Major,4
