#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
12,Dirty Deeds Done Dirt Cheap,AC/DC,76,136,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,03:51,67,91,21,0,51,10,10,-5,B Minor,4
13,Crabsody In Blue,AC/DC,31,104,"australian rock, hard rock, rock",Rock,Backtracks,10/11/2009,04:43,36,66,12,59,24,0,10,-6,B Minor,1
14,Love at First Feel,AC/DC,43,123,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,03:11,55,79,1,27,57,0,10,-6,D Major,4
15,Big Balls,AC/DC,60,107,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,02:38,62,63,43,0,42,20,60,-6,A Major,4
16,You Ain't Got a Hold on Me,AC/DC,38,127,"australian rock, hard rock, rock",Rock,'74 Jailbreak,15/10/1984,03:31,70,47,1,5,61,0,10,-7,A Minor,4
17,Rocker,AC/DC,48,118,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,02:51,43,96,20,70,48,10,10,-4,C♯/D♭ Major,4
18,Problem Child,AC/DC,47,134,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,05:45,47,84,0,15,66,10,0,-4,B Minor,4
19,There's Gonna Be Some Rockin',AC/DC,43,127,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,03:18,55,79,12,0,58,0,70,-5,D Major,4
20,Ain't No Fun (Waiting Round to Be a Millionaire),AC/DC,44,124,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,06:54,40,81,1,4,55,0,10,-5,D Major,4
21,Ride On,AC/DC,58,106,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,05:50,73,39,51,1,28,0,0,-10,C Major,3
22,Squealer,AC/DC,44,131,"australian rock, hard rock, rock",Rock,Dirty Deeds Done Dirt Cheap,20/09/1976,05:27,48,61,8,8,67,0,10,-7,C Major,4
23,Borrowed Time,AC/DC,31,126,"australian rock, hard rock, rock",Rock,Backtracks,10/11/2009,03:44,53,94,3,14,62,0,0,-6,G Major,4
24,Go Down,AC/DC,45,135,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,05:31,43,80,9,35,40,10,0,-5,A Major,4
25,Dog Eat Dog,AC/DC,50,137,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,03:34,60,79,3,25,39,0,40,-6,A#/B♭ Major,4
26,Fling Thing,AC/DC,29,133,"australian rock, hard rock, rock",Rock,Backtracks,10/11/2009,01:59,50,54,11,52,26,0,10,-10,G#/A♭ Major,4
27,Let There Be Rock,AC/DC,66,182,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,06:06,33,73,0,61,42,10,0,-6,B Minor,4
28,Bad Boy Boogie,AC/DC,45,141,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,04:27,49,85,12,19,54,0,20,-5,A Major,4
29,Problem Child,AC/DC,46,134,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,05:24,44,87,0,10,70,10,0,-4,A Major,4
30,Overdose,AC/DC,43,128,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,06:09,40,72,1,21,25,0,10,-4,A Major,4
31,Hell Ain't a Bad Place to Be,AC/DC,57,128,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,04:14,60,74,18,1,42,10,30,-5,A Major,4
32,Whole Lotta Rosie,AC/DC,67,159,"australian rock, hard rock, rock",Rock,Let There Be Rock,21/03/1977,05:33,29,84,0,48,42,0,10,-4,A Major,4
33,Rock 'N' Roll Damnation,AC/DC,57,134,"australian rock, hard rock, rock",Rock,Powerage,05/05/1978,03:37,52,100,3,15,32,10,0,-3,A Major,4
34,Down Payment Blues,AC/DC,45,129,"australian rock, hard rock, rock",Rock,Powerage,05/05/1978,06:03,49,69,2,10,19,0,30,-5,E Major,4
